ID;DNI;MATRICULA;KM_RECORRIDOS;NUMERO_ACELERONES;NUMERO_FRENAZOS;RPM_MEDIA;INICIO;FIN
1;12345678A;3445DKM;42,19132369;2;2;3077;2019-12-10 08:12:50.350;2019-12-10 09:14:19.543
2;12345678A;5567JJL;90,55272769;5;2;3011;2019-12-10 20:08:55.230;2019-12-10 20:48:37.355
3;87654321V;3445DKM;74,3363276;3;1;2515;2019-12-11 06:17:48.739;2019-12-11 07:47:06.367
4;44678910Y;1125LLV;46,16672738;4;2;2975;2019-12-11 12:40:44.368;2019-12-11 13:02:19.463
5;44678910Y;3445DKM;143,3867971;8;6;2758;2019-12-11 23:03:06.612;2019-12-11 23:40:25.823
6;12345678A;1125LLV;191,5303801;7;2;2528;2019-12-12 05:40:52.977;2019-12-12 07:30:38.782
7;12345678A;5567JJL;46,04665868;2;2;2535;2019-12-12 14:47:17.366;2019-12-12 15:59:57.920
8;87654321V;1125LLV;123,6976901;1;2;2822;2019-12-12 19:41:34.609;2019-12-12 20:51:53.319
9;44678910Y;3445DKM;163,0150652;7;3;2601;2019-12-13 03:35:09.744;2019-12-13 04:51:25.962
10;44678910Y;3445DKM;157,9422192;7;5;2930;2019-12-13 07:45:40.754;2019-12-13 08:09:42.346
11;12345678A;5567JJL;53,39760121;2;0;2850;2019-12-13 11:30:54.503;2019-12-13 12:15:50.677
12;12345678A;5567JJL;37,94722943;2;5;2844;2019-12-13 16:35:16.619;2019-12-13 17:04:46.951
13;87654321V;3445DKM;100,3177602;3;4;2558;2019-12-14 01:46:32.580;2019-12-14 03:32:52.928
14;44678910Y;5567JJL;15,81534624;5;1;2743;2019-12-14 11:25:19.706;2019-12-14 12:53:59.124
15;44678910Y;5567JJL;166,7575285;3;9;2895;2019-12-14 20:37:56.696;2019-12-14 21:54:03.645
16;12345678A;3445DKM;60,06919973;5;7;2800;2019-12-15 07:55:13.550;2019-12-15 08:05:43.215
17;12345678A;3445DKM;199,7111356;7;6;2798;2019-12-15 09:26:16.744;2019-12-15 10:05:05.651
18;12345678A;3445DKM;182,5014266;0;2;2976;2019-12-15 16:08:51.800;2019-12-15 16:12:29.404
19;12345678A;1125LLV;131,4655756;1;3;2971;2019-12-15 23:28:20.834;2019-12-15 23:51:38.285
20;87654321V;3445DKM;92,65392096;1;5;2986;2019-12-16 03:52:18.143;2019-12-16 04:58:04.563
21;44678910Y;3445DKM;169,5241317;1;4;2642;2019-12-16 14:28:27.424;2019-12-16 16:15:04.888
22;12345678A;3445DKM;26,48385763;4;6;2922;2019-12-16 18:25:03.626;2019-12-16 19:55:11.286
23;12345678A;5567JJL;113,283358;5;0;2922;2019-12-17 01:06:35.074;2019-12-17 02:23:44.616
24;87654321V;3445DKM;31,80322407;4;4;2707;2019-12-17 10:29:30.980;2019-12-17 12:21:16.728
25;44678910Y;1125LLV;11,18755964;7;2;3095;2019-12-17 15:58:47.631;2019-12-17 17:05:04.860
26;44678910Y;3445DKM;197,6759509;4;2;2635;2019-12-17 17:12:49.463;2019-12-17 17:43:06.918
27;12345678A;1125LLV;150,040831;7;7;2927;2019-12-17 22:04:25.815;2019-12-17 22:52:55.931
28;12345678A;5567JJL;16,88730267;5;0;2549;2019-12-18 09:41:22.565;2019-12-18 09:54:06.635
29;87654321V;1125LLV;39,39360421;1;3;2628;2019-12-18 11:04:30.812;2019-12-18 11:26:16.905
30;44678910Y;3445DKM;173,6081673;7;1;2903;2019-12-18 17:03:40.128;2019-12-18 17:30:08.089
31;44678910Y;3445DKM;48,72782645;1;2;2597;2019-12-18 22:49:08.722;2019-12-19 00:45:06.286
32;12345678A;5567JJL;103,2817919;0;5;2949;2019-12-19 03:09:55.175;2019-12-19 04:53:15.708
33;12345678A;5567JJL;199,2253677;6;7;2644;2019-12-19 12:25:01.048;2019-12-19 14:07:37.373
34;87654321V;3445DKM;174,118522;7;1;2547;2019-12-19 20:59:26.626;2019-12-19 22:05:06.855
35;44678910Y;5567JJL;175,3449043;5;0;2762;2019-12-20 05:49:09.365;2019-12-20 05:51:12.917
36;44678910Y;5567JJL;80,49721892;2;2;2652;2019-12-20 09:58:33.082;2019-12-20 09:59:19.042
37;12345678A;3445DKM;33,72142425;3;6;2801;2019-12-20 20:34:36.971;2019-12-20 22:28:07.461
38;12345678A;3445DKM;120,4358095;3;6;2861;2019-12-21 06:10:53.053;2019-12-21 07:20:51.960
39;12345678A;3445DKM;179,0317996;6;3;2593;2019-12-21 11:27:10.398;2019-12-21 12:31:16.159
40;12345678A;1125LLV;109,4946594;7;4;3053;2019-12-21 20:33:45.331;2019-12-21 21:52:42.093
41;87654321V;3445DKM;75,62023968;6;0;2800;2019-12-22 00:21:41.470;2019-12-22 02:08:16.346
42;44678910Y;3445DKM;59,07289569;2;1;2633;2019-12-22 02:28:34.457;2019-12-22 03:42:06.385
43;12345678A;3445DKM;196,7833551;6;0;2964;2019-12-22 05:46:47.289;2019-12-22 06:41:16.222
44;12345678A;5567JJL;155,995218;7;6;3071;2019-12-22 16:54:56.757;2019-12-22 17:44:27.907
45;87654321V;3445DKM;77,14165528;4;3;2801;2019-12-22 19:46:41.828;2019-12-22 20:10:14.015
46;44678910Y;1125LLV;129,1171244;3;0;2596;2019-12-23 02:47:09.879;2019-12-23 03:18:06.414
47;44678910Y;3445DKM;69,15891848;4;0;2921;2019-12-23 11:50:44.942;2019-12-23 12:26:09.384
48;12345678A;1125LLV;125,6564223;5;3;2725;2019-12-23 12:34:33.782;2019-12-23 14:02:58.825
49;12345678A;5567JJL;93,6555743;7;3;3084;2019-12-23 14:36:52.100;2019-12-23 15:17:55.197
50;87654321V;1125LLV;138,7436257;6;6;3084;2019-12-23 18:32:05.818;2019-12-23 18:40:32.212
51;44678910Y;3445DKM;125,5056465;3;5;2836;2019-12-24 02:58:39.819;2019-12-24 03:52:51.590
52;44678910Y;3445DKM;86,72438759;3;3;3061;2019-12-24 06:14:08.718;2019-12-24 06:24:55.409
